Група витрат	Стаття витрат	Контрагент	Дата	Сума	Кіоск
Оренда	Оренда кіоску	Орендодавець	01.10.2024	5000	Стрийська
Зарплата	Зарплата	Кухар 1	02.10.2024	6000	Стрийська
Зарплата	Зарплата	Касир 1	03.10.2024	4000	Стрийська
Зарплата	Податки та внески	Податкова служба	04.10.2024	2500	Стрийська
Закупівля інгредієнтів	М'ясо	Постачальник м'яса	05.10.2024	3000	Стрийська
Закупівля інгредієнтів	Овочі	Постачальник овочів	06.10.2024	1000	Стрийська
Закупівля інгредієнтів	Соуси	Постачальник соусів	07.10.2024	500	Стрийська
Закупівля інгредієнтів	Хліб	Пекарня	08.10.2024	1500	Стрийська
Комунальні послуги	Електроенергія	Електропостачальник	09.10.2024	2000	Стрийська
Комунальні послуги	Вода	Водопостачальник	10.10.2024	500	Стрийська
Комунальні послуги	Інтернет	Інтернет-провайдер	11.10.2024	300	Стрийська
Податки	Податки	Податкова служба	12.10.2024	2000	Стрийська
Витрати на пакування	Пакети та контейнери	Постачальник пакування	13.10.2024	800	Стрийська
Маркетинг	Оновлення рекламних кампаній	Рекламна агенція	14.10.2024	1500	Стрийська
Обслуговування обладнання	Технічне обслуговування	Сервіс обладнання	15.10.2024	1200	Стрийська
Оренда	Оренда кіоску	Орендодавець	01.10.2024	5000	Стрийська
Зарплата	Зарплата	Кухар 1	02.10.2024	6000	Стрийська
Зарплата	Зарплата	Касир 1	03.10.2024	4000	Стрийська
Зарплата	Податки та внески	Податкова служба	04.10.2024	2500	Стрийська
Закупівля інгредієнтів	М'ясо	Постачальник м'яса	05.10.2024	3000	Стрийська
Закупівля інгредієнтів	Овочі	Постачальник овочів	06.10.2024	1000	Стрийська
Закупівля інгредієнтів	Соуси	Постачальник соусів	07.10.2024	500	Стрийська
Закупівля інгредієнтів	Хліб	Пекарня	08.10.2024	1500	Стрийська
Комунальні послуги	Електроенергія	Електропостачальник	09.10.2024	2000	Стрийська
Комунальні послуги	Вода	Водопостачальник	10.10.2024	500	Стрийська
Комунальні послуги	Інтернет	Інтернет-провайдер	11.10.2024	300	Стрийська
Податки	Податки	Податкова служба	12.10.2024	2000	Стрийська
Витрати на пакування	Пакети та контейнери	Постачальник пакування	13.10.2024	800	Стрийська
Маркетинг	Оновлення рекламних кампаній	Рекламна агенція	14.10.2024	1500	Стрийська
Обслуговування обладнання	Технічне обслуговування	Сервіс обладнання	15.10.2024	1200	Стрийська
Оренда	Оренда кіоску	Орендодавець	01.10.2024	4550	Замарстинівська
Зарплата	Зарплата	Кухар 1	02.10.2024	7320	Замарстинівська
Зарплата	Зарплата	Касир 1	03.10.2024	4560	Замарстинівська
Зарплата	Податки та внески	Податкова служба	04.10.2024	2650	Замарстинівська
Закупівля інгредієнтів	М'ясо	Постачальник м'яса	05.10.2024	2910	Замарстинівська
Закупівля інгредієнтів	Овочі	Постачальник овочів	06.10.2024	1300	Замарстинівська
Закупівля інгредієнтів	Соуси	Постачальник соусів	07.10.2024	615	Замарстинівська
Закупівля інгредієнтів	Хліб	Пекарня	08.10.2024	1755	Замарстинівська
Комунальні послуги	Електроенергія	Електропостачальник	09.10.2024	2400	Замарстинівська
Комунальні послуги	Вода	Водопостачальник	10.10.2024	595	Замарстинівська
Комунальні послуги	Інтернет	Інтернет-провайдер	11.10.2024	309	Замарстинівська
Податки	Податки	Податкова служба	12.10.2024	2380	Замарстинівська
Витрати на пакування	Пакети та контейнери	Постачальник пакування	13.10.2024	776	Замарстинівська
Маркетинг	Оновлення рекламних кампаній	Рекламна агенція	14.10.2024	1740	Замарстинівська
Обслуговування обладнання	Технічне обслуговування	Сервіс обладнання	15.10.2024	1560	Замарстинівська
Оренда	Оренда кіоску	Орендодавець	01.10.2024	5800	Замарстинівська
Зарплата	Зарплата	Кухар 1	02.10.2024	6180	Замарстинівська
Зарплата	Зарплата	Касир 1	03.10.2024	3800	Замарстинівська
Зарплата	Податки та внески	Податкова служба	04.10.2024	2625	Замарстинівська
Закупівля інгредієнтів	М'ясо	Постачальник м'яса	05.10.2024	3540	Замарстинівська
Закупівля інгредієнтів	Овочі	Постачальник овочів	06.10.2024	1300	Замарстинівська
Закупівля інгредієнтів	Соуси	Постачальник соусів	07.10.2024	580	Замарстинівська
Закупівля інгредієнтів	Хліб	Пекарня	08.10.2024	1590	Замарстинівська
Комунальні послуги	Електроенергія	Електропостачальник	09.10.2024	2560	Замарстинівська
Комунальні послуги	Вода	Водопостачальник	10.10.2024	595	Замарстинівська
Комунальні послуги	Інтернет	Інтернет-провайдер	11.10.2024	336	Замарстинівська
Податки	Податки	Податкова служба	12.10.2024	2240	Замарстинівська
Витрати на пакування	Пакети та контейнери	Постачальник пакування	13.10.2024	720	Замарстинівська
Маркетинг	Оновлення рекламних кампаній	Рекламна агенція	14.10.2024	1950	Замарстинівська
Обслуговування обладнання	Технічне обслуговування	Сервіс обладнання	15.10.2024	1092	Замарстинівська
Зарплата	Зарплата	Кухар 1	02.10.2024	5880	Центр
Зарплата	Зарплата	Касир 1	03.10.2024	3720	Центр
Зарплата	Податки та внески	Податкова служба	04.10.2024	3250	Центр
Закупівля інгредієнтів	М'ясо	Постачальник м'яса	05.10.2024	2790	Центр
Закупівля інгредієнтів	Овочі	Постачальник овочів	06.10.2024	1270	Центр
Закупівля інгредієнтів	Соуси	Постачальник соусів	07.10.2024	630	Центр
Закупівля інгредієнтів	Хліб	Пекарня	08.10.2024	1845	Центр
Комунальні послуги	Електроенергія	Електропостачальник	09.10.2024	1880	Центр
Комунальні послуги	Вода	Водопостачальник	10.10.2024	580	Центр
Комунальні послуги	Інтернет	Інтернет-провайдер	11.10.2024	282	Центр
Податки	Податки	Податкова служба	12.10.2024	2020	Центр
Витрати на пакування	Пакети та контейнери	Постачальник пакування	13.10.2024	784	Центр
Маркетинг	Оновлення рекламних кампаній	Рекламна агенція	14.10.2024	1530	Центр
Обслуговування обладнання	Технічне обслуговування	Сервіс обладнання	15.10.2024	1272	Центр
Оренда	Оренда кіоску	Орендодавець	01.10.2024	4750	Центр
Зарплата	Зарплата	Кухар 1	02.10.2024	6420	Центр
Зарплата	Зарплата	Касир 1	03.10.2024	4040	Центр
Зарплата	Податки та внески	Податкова служба	04.10.2024	2550	Центр
Закупівля інгредієнтів	М'ясо	Постачальник м'яса	05.10.2024	2760	Центр
Закупівля інгредієнтів	Овочі	Постачальник овочів	06.10.2024	1030	Центр
Закупівля інгредієнтів	Соуси	Постачальник соусів	07.10.2024	545	Центр
Закупівля інгредієнтів	Хліб	Пекарня	08.10.2024	1620	Центр
Комунальні послуги	Електроенергія	Електропостачальник	09.10.2024	2280	Центр
Комунальні послуги	Вода	Водопостачальник	10.10.2024	495	Центр
Комунальні послуги	Інтернет	Інтернет-провайдер	11.10.2024	348	Центр
Податки	Податки	Податкова служба	12.10.2024	2180	Центр
Витрати на пакування	Пакети та контейнери	Постачальник пакування	13.10.2024	872	Центр
Маркетинг	Оновлення рекламних кампаній	Рекламна агенція	14.10.2024	1350	Центр
Обслуговування обладнання	Технічне обслуговування	Сервіс обладнання	15.10.2024	1104	Центр
